company_code,company_name,report_year,doc_id,issue_name,original_issue_name,anchor_type,source_page,source_page_warning,evidence_snippet,has_policy_ref,has_scope_statement,has_case_study,has_kpi_value,has_yoy_change,has_method_note,has_assurance,verifiability_score,spotlight_bias_flag,risk_tone,matrix_importance,llm_success
000001,平安银行,2021,2021-1212533363,公司治理/风险管理,,,1,页码可能不准确（封面/目录页）,"--- ## 第 1 页 平安银行股份有限公司 2021 年可持续发展报告 目 录 高管致辞......................................................；2021 年末，本行制造业中长期贷款较上年末增长 29.2%；2021 年末， 本行及平安理财绿色金融业务余额 1,137.27 亿元，同比增长 199.6%",False,False,False,True,True,True,False,2,False,展示性,未出现,True
000001,平安银行,2022,2022-1216072949,公司治理/风险管理,,,16,,"2022 年末 ，本行 绿色 贷款余 额 1,097.68 亿元，较上年末增长 58.8%；董事长 谢永林 行 长 胡跃飞 目录 高管致辞 ............................................................................",False,False,False,True,True,False,False,2,True,展示性,高,True
000001,平安银行,2023,2023-1219306480,公司治理/风险管理,,,20,,"--- ## 第 1 页 平安银行股份有限公司 2023 年可持续发展报告 目 录 行长致辞 .....................................................；截至 2023 年末，本行制造业贷款余额 2,374 亿元，较年初增长 11.1%；专精特新客户授 信余额较年初增长 157%",False,False,True,True,True,False,False,3,False,展示性,高,True
000001,平安银行,2024,2024-1222806510,公司治理/风险管理,,,4,,"--- ## 第 1 页 平安银行股份有限公司 2024 年可持续发展报告 目 录 高管致辞 .............................................. 5 关于我们；我们秉持绿色发展理念，将 ESG 风险管理嵌入授 ## 信管理，全方位管控客户 ESG 风险，大力推进绿色金融产品和服务创新；截至 2024 年末，本行绿色贷款余额 1,577.62 亿元，同比增长 13.0%",False,False,False,True,True,False,False,2,False,展示性,未出现,True
000001,平安银行,2025,2025-1225022899,公司治理/风险管理,,,20,,--- ## 第 1 页 平安银行股份有限公司 2025 年度可持续发展报告 目录 高管致辞 .....................................................；这一年，我们交出了一份经营质效 与社会价值并重的答卷：在经营质效方面，坚持“零售做强、对公做 精、同业做专”的战略方针，持续推进战略转型，2025 年末资产总额 5.93 万亿元，同比增长 2.7%，；以风险“三道 防线”为依托，构建覆盖前中后台的全流程风险管理体系，持续提升 管理效能,True,True,True,True,True,False,False,5,False,展示性,未出现,True
001227,宁波银行,2021,2021-1213176178,公司治理/风险管理,,,3,,"截至报告期末， 全行资产总额4,003.41亿元，较年初净增380.21亿元；各项存款3,056.55亿元，较年初净增192.12亿元；各项 贷款2,161.86亿元，较年初净增219.76亿元",False,False,False,True,True,False,False,2,False,展示性,未出现,True
001227,宁波银行,2022,2022-1216689014,公司治理/风险管理,,,3,,07 企业社会责任报告CORPORATE SOCIALRESPONSIBILITY REPORT2022年规范运行，把好稳健之舵 --- ## 第 14 页 规 范 运 行 ，把 好 稳 健 之 舵 ；一是完善全面风险管理框 二 是 扎 实 推 进 数 字 化 建 三是进一步提升押品管理 架,False,False,False,True,False,False,False,1,False,展示性,未出现,True
001227,宁波银行,2023,2023-1219866155,公司治理/风险管理,,,13,,报告范围 • 报告组织范围： 本报告覆盖兰州银行股份有限公司总部及所辖分支机构；• 公司内部数据收集系统与相关统计报表 • 优秀可持续发展实践案例 • 基于报告框架的定性与定量信息采集表和调查问卷 编制原则 本报告所披露的经营数据均来自《兰州银行股份有限公司 2023 年年度报告；本报告以《关于加强银行业金融机构社会责任的意见》《中国银行业金融机构企业社会责任指引》 等相关要求为指导，参考全球报告倡议组织《可持续发展报告指南（GRI Standards）2021 版》、 国际标,True,True,True,True,True,False,False,5,False,展示性,未出现,True
001227,宁波银行,2024,2024-1223317301,公司治理/风险管理,,,13,,编制依据与报告标准 本报告以《关于加强银行业金融机构社会责任的意见》《中国银行业金融机构企业社会责任 指引》《金融机构环境信息披露指南》等相关要求为指导，参考全球报告倡议组织《可持续 发展报告指南（G；--- ## 第 3 页 目 录 03 董事长致辞 05 关于兰州银行 07 ESG 治理架构 07 利益相关方沟通与实质性议题识别 09 2024 年荣誉奖项 87 未来展望 89 ESG 关键绩效；我们始终将“党管金融”作为根本遵循，深入贯彻 落实中央经济、金融工作会议精神，建立“战略 - 执行 - 监督”三位一体的治理架构，坚持“双向进入、 交叉任职”原则，实现党建与公司治理深度融合，探索银行,True,True,True,True,True,False,False,5,False,展示性,高,True
001227,宁波银行,2025,2025-1225219135,公司治理/风险管理,,,4,,--- ## 第 2 页 目录 001 003 005 009 关于本报告 董事长致辞 关于兰州银行 可持续发展管理 113 绩效展示 117 119 附录一：指标索引表 附录二：读者意见表 强化治理；报告范围 本报告覆盖兰州银行股份有限公司总部及所辖分支机构，与财务报告合并报表范围一致；我们精 们坚持 “ 党管金融 ” 不动摇，顺利完成总行党委换 准服务清洁能源、生态修复等绿色领域发展，快速布 届选举，将党的领导深度嵌入可持续发展决策、执行、 局绿色服务、绿色贸易、绿色消费等新兴赛道,False,True,True,True,True,False,False,4,False,平衡（含挑战）,未出现,True
002142,宁波银行(宁银消金),2021,2021-1212837562,公司治理/风险管理,,,2,页码可能不准确（封面/目录页）,一、报告范围 报告组织范围：本报告以宁波银行股份有限公司为主体部分，涵 盖总行、各分行、宁波地区支行，部分内容涉及子公司永赢基金管理 有限公司、永赢金融租赁有限公司、宁银理财有限责任公司；三、数据说明 本报告所披露的各项数据与信息主要通过以下方式获取：我行内 部相关统计报表，日常梳理、总结的社会责任实践案例，基于报告框 架的定性与定量信息采集；--- ## 第 4 页 宁波银行股份有限公司 2021 年度社会责任报告 目录 致 辞 .................................................... 1 ,False,True,True,True,False,True,False,3,False,展示性,未出现,True
