doc_id,issue_name,section_title,start_page,end_page,confidence,quality_issue
2021-1212533363,风险管理,注册金融分析师（CFA）、金融风险管理师（FRM），可凭证书或持证证明材料申,17,22,85,ok
2021-1212533363,公司治理,董事会作为本行 ESG 事务的最高负责及决策机构，负责审阅并监督本行在 E,4,9,70,ok
2021-1212533363,绿色金融,济、绿色金融等 ESG 议题。由董事会审议通过的《平安银行三年发展战略规划（2,4,9,85,ok
2021-1212533363,消费者权益保护,本行信息安全管理体系的搭建遵照国家法律法规和相关标准，并参考 ISO27,9,14,70,ok
2022-1216072949,风险管理,客户及项目的准入条件，制定不同指标，通过信贷系统对信贷业务实行全流程 ESG 风险管理，,6,11,85,ok
2022-1216072949,公司治理,董事会是本行环境、社会与管治（ESG）事务最高决策及负责机构，本行董事会高度关注,4,9,70,ok
2022-1216072949,绿色金融,绿色金融、ESG 相关机构及投资者沟通情况,5,10,85,ok
2022-1216072949,消费者权益保护,理质检岗位，通过“AI 质检、AI+人工质检、纯人质检”相结合的模式进行投诉处理核查，确,14,19,70,ok
2022-1216072949,普惠金融,数字口袋 App 是本行针对小微企业开发的创新线上服务平台，提供各类,10,15,70,ok
2022-1216072949,乡村振兴,训内容涵盖 ESG 相关绿色金融、农业、采矿行业等政策，培训人员涵盖客户经理、风险经理、,6,11,70,ok
2023-1219306480,风险管理,酬与考核委员会、风险管理委员会对 ESG 工作分工负责，对本行社会责任、金融风,4,9,85,ok
2023-1219306480,公司治理,大湾区上市公司公司治理 Top20,4,9,85,ok
2023-1219306480,绿色金融,和 ESG 风险管理，参与绿色金融合作，以创新驱动绿色低碳经济高质量发展，以实际行,19,24,85,ok
2023-1219306480,消费者权益保护,险、薪酬绩效、消费者权益保护工作等 ESG 议题的战略及目标进行审议、监督并展开,4,9,70,ok
2023-1219306480,普惠金融,经济委员会、普惠金融管理委员会，并带领总行各部门和各分支机构落实 ESG 重点目,4,9,85,ok
2023-1219306480,乡村振兴,"“行 E 通”互联网平台累计服务中小银行 1,283 家，其中农村金融机构 1,136 家。",10,15,70,ok
2024-1222806510,风险管理,践行绿色金融，赋能低碳转型。我们秉持绿色发展理念，将 ESG 风险管理嵌入授,4,9,85,ok
2024-1222806510,公司治理,本行董事会全面监督 ESG 事宜，对本行的 ESG 策略及信息披露承担全部责任。董,5,10,70,ok
2024-1222806510,绿色金融,践行绿色金融，赋能低碳转型。我们秉持绿色发展理念，将 ESG 风险管理嵌入授,4,9,85,ok
2024-1222806510,消费者权益保护,求融入经营发展战略、企业文化建设以及 ESG 管理，建立健全消费者权益保护机制，,12,17,70,ok
2024-1222806510,普惠金融,作，提升中小微企业的服务能力；同时，通过“票付通”为 B2B 平台提供安全的票据,9,14,70,ok
2024-1222806510,乡村振兴,益保护、科技伦理、隐私与数据安全、绿色金融、乡村振兴等 ESG 关键议题的管理制,5,10,85,ok
2025-1225022899,风险管理,• 将 ESG 要求纳入授信管理流程和全面风险管理。董事会审议批准年度《风,3,8,85,ok
2025-1225022899,公司治理,本行董事会全面监督 ESG 事宜，对本行的 ESG 策略及信息披露承担全,3,8,70,ok
2025-1225022899,绿色金融,面，深化 ESG 治理体系，推动绿色金融与普惠金融创新，MSCI ESG 评,1,6,85,ok
2025-1225022899,消费者权益保护,各执行单位实施 ESG 工作，制定并执行消费者权益保护、科技伦理、,3,8,70,ok
2025-1225022899,普惠金融,面，深化 ESG 治理体系，推动绿色金融与普惠金融创新，MSCI ESG 评,1,6,85,ok
2025-1225022899,乡村振兴,隐私与数据安全、绿色金融、乡村振兴等 ESG 关键议题的管理制度、,3,8,85,ok
2023-1219916502,风险管理,完善风险管理,1,6,85,ok
2023-1219916502,公司治理,深化公司治理,1,6,85,ok
2023-1219916502,绿色金融,发展绿色金融,1,6,85,ok
2023-1219916502,消费者权益保护,保护客户权益,1,6,70,ok
2021-1212687499,公司治理,为公司治理再上新台阶篇，反映本行在三会一层、,1,6,85,ok
2021-1212687499,绿色金融,为 ESG 价值创造再提新高度篇，反映本行在创,1,6,70,ok
2022-1216221039,绿色金融,为守正创新，深化责任管理篇，反映本行在 ESG,1,6,70,ok
2021-1213271026,公司治理,2021 年 ESG 工作——公司治理篇,6,11,85,ok
2021-1213271026,绿色金融,2021 年 ESG 工作——经济篇,4,9,70,ok
2022-1216707444,公司治理,2022 年 ESG 工作——公司治理篇,6,11,85,ok
2022-1216707444,绿色金融,2022 年度 ESG 工作亮点,2,7,70,ok
2023-1219834248,公司治理,2023 年 ESG 工作——公司治理篇,7,12,85,ok
2023-1219834248,绿色金融,2023 年度 ESG 工作亮点,2,7,70,ok
2024-1223278031,绿色金融,紫金银行的 ESG 治理安排 / 10,1,6,70,ok
2025-1225169548,绿色金融,紫金银行的 ESG 治理安排,2,7,70,ok
2022-1216234455,绿色金融,发展绿色金融,1,6,85,ok
2023-1219447647,绿色金融,构建绿色金融生态 .................................................... - 35 -,1,6,85,ok
2021-1212669953,公司治理,公司治理,5,10,85,ok
2021-1212669953,绿色金融,绿色金融,12,17,85,ok
2022-1216202398,公司治理,完善治理  坚持合规经营............................................................................................... 17,2,7,70,ok
2022-1216202398,绿色金融,战略引领  推动可持续发展........................................................................................... 13,2,7,70,ok
2023-1219375053,公司治理,完善治理  坚持合规经营................................................................................... 24,2,7,70,ok
2023-1219375053,绿色金融,战略引领  推动可持续发展............................................................................... 15,2,7,70,ok
