doc_id,bank_code,year,issue_name,section_title,start_page,end_page,confidence,match_type,quality_issue,manual_check,checker_notes,checker,check_time
2021-1212533363,,2021,风险管理,4  强化风险管理 .......................................................................................................................... 16,1,7,80,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212533363,,2021,公司治理,公司治理 .......................................................................................................................................... 11,1,7,80,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212533363,,2021,绿色金融,1  绿色金融 .................................................................................................................................. 47,2,8,80,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212533363,,2021,消费者权益保护,2.1 消费者权益保护,9,15,80,精确匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212533363,,2021,普惠金融,普惠金融 ........................................................................................................................................... 37,1,7,80,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1212533363,,2021,乡村振兴,助力乡村振兴................................................................................................................................... 42,2,8,80,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216072949,,2022,风险管理,金融机构将环境、社会、治理（ESG）风险纳入全面风险管理体系并进行全流程管理的路径,16,22,90,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216072949,,2022,公司治理,董事会是本行环境、社会与管治（ESG）事务最高决策及负责机构，本行董事会高度关注,4,10,90,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216072949,,2022,绿色金融,业首支绿色金融、可持续发展双主题的债券指数“中债——平安理财 ESG 优选绿色债券指,16,22,90,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216072949,,2022,消费者权益保护,第二季度银行业消费投诉情况通报，推动加强消费者权益保护能力建设。,5,11,90,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216072949,,2022,普惠金融,践行普惠金融 ................................................................................................................................ 31,2,8,90,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2022-1216072949,,2022,乡村振兴,强化乡村振兴组织领导,9,15,90,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219306480,,2023,风险管理,夯实绿色金融风险管理工作的硬件基础。此外，本行研究开发 ESG 风险评估分类认定系,20,26,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219306480,,2023,公司治理,大湾区上市公司公司治理 Top20,3,9,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219306480,,2023,绿色金融,和 ESG 风险管理，参与绿色金融合作，以创新驱动绿色低碳经济高质量发展，以实际行,16,22,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219306480,,2023,消费者权益保护,险、薪酬绩效、消费者权益保护工作等 ESG 议题的战略及目标进行审议、监督并展开,3,9,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219306480,,2023,普惠金融,经济委员会、普惠金融管理委员会，并带领总行各部门和各分支机构落实 ESG 重点目,4,10,81,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2023-1219306480,,2023,乡村振兴,"""“行 E 通”互联网平台累计服务中小银行 1",283 家，其中农村金融机构 1,"136 家。""",81,模糊匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2024-1222806510,,2024,风险管理,本行董事会听取公司整体 ESG 战略规划并审议 ESG 定期报告，获知 ESG 风险管理、,4,10,77,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222806510,,2024,公司治理,本行董事会全面监督 ESG 事宜，对本行的 ESG 策略及信息披露承担全部责任。董,4,10,77,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222806510,,2024,绿色金融,践行绿色金融，赋能低碳转型。我们秉持绿色发展理念，将 ESG 风险管理嵌入授,3,9,77,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222806510,,2024,消费者权益保护,求融入经营发展战略、企业文化建设以及 ESG 管理，建立健全消费者权益保护机制，,10,16,77,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222806510,,2024,普惠金融,作，提升中小微企业的服务能力；同时，通过“票付通”为 B2B 平台提供安全的票据,8,14,77,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2024-1222806510,,2024,乡村振兴,"""84 亿元，累计投放 1","522.47 亿元；乡村振兴借记卡发卡 6.31 万张，累计发卡 25.64""",10,77,模糊匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225022899,,2025,风险管理,在风险端，将信贷客户 ESG 风险纳入全面风险管理，形成 ESG 风险监测预警和限额,20,26,76,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225022899,,2025,公司治理,2 稳健公司治理 ................................................16,1,7,76,精确匹配,ok,confirmed,中高置信度+精确匹配，自动通过,system_auto,2026-06-14
2025-1225022899,,2025,绿色金融,不断完善绿色金融及 ESG 风险管理制度体系。2025 年，本行制定了《2025 年风险,19,25,76,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225022899,,2025,消费者权益保护,各执行单位实施 ESG 工作，制定并执行消费者权益保护、科技伦理、,2,8,76,关键词匹配,ok,pending,中置信度，建议人工复核,system_auto,2026-06-14
2025-1225022899,,2025,普惠金融,4 践行普惠金融 ................................................31,1,7,76,精确匹配,ok,confirmed,中高置信度+精确匹配，自动通过,system_auto,2026-06-14
2025-1225022899,,2025,乡村振兴,5 助力乡村振兴 ................................................34,1,7,76,精确匹配,ok,confirmed,中高置信度+精确匹配，自动通过,system_auto,2026-06-14
2021-1213176178,,2021,风险管理,包含'风险管理'的章节,3,9,80,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1213176178,,2021,公司治理,包含'治理结构'的章节,3,9,80,内容搜索,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
2021-1213176178,,2021,绿色金融,深度参与绿色金融改革创新试验,7,13,80,关键词匹配,ok,confirmed,高置信度，自动通过,system_auto,2026-06-14
